city_key,city_name,province,raw_city_variants,province_variants,city_level,workbook_count,coverage_status,workbooks_missing,has_zero_width_chars,admin_status,needs_manual_review,review_reason,notes
cn_city_2d101c83,苏州,江苏,苏州;苏州市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1cac19bc,连云港,江苏,连云港;连云港市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4779ebe6,镇江,江苏,镇江;镇江市,中国;江苏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d9607b63,上饶,江西,上饶;上饶市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1b4b744c,九江,江西,九江;九江市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c0946ea0,南昌,江西,南昌;南昌市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_004fdd2f,吉安,江西,吉安;吉安市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_337df43f,宜春,江西,宜春;宜春市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_dfe4adaf,抚州,江西,抚州;抚州市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_ed26e10a,新余,江西,新余;新余市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e054b3cf,景德镇,江西,景德镇;景德镇市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_3fdbcf16,萍乡,江西,萍乡;萍乡市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4adc70c9,赣州,江西,赣州;赣州市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_170b90a4,鹰潭,江西,鹰潭;鹰潭市,中国;江西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_258d1bf2,保定,河北,保定;保定市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6f6cc9e7,唐山,河北,唐山;唐山市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e786d540,廊坊,河北,廊坊;廊坊市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5e80feca,张家口,河北,张家口;张家口市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_b1ecbab2,承德,河北,承德;承德市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_798bbdf0,沧州,河北,沧州;沧州市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_874e2fd9,石家庄,河北,石家庄;石家庄市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_ce66d930,秦皇岛,河北,秦皇岛;秦皇岛市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_da598f63,衡水,河北,衡水;衡水市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_431fa14c,邢台,河北,邢台;邢台市,中国;河北,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
