normalized_city,raw_city_variants,province_variants,workbook_count,workbooks_present,workbooks_missing,has_zero_width_chars,notes
昆明,昆明;昆明市,中国;云南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
昌都,昌都,中国;西藏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
昭通,昭通;昭通市,中国;云南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
晋中,晋中;晋中市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
晋城,晋城;晋城市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
普洱,普洱;普洱市,中国;云南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
景德镇,景德镇;景德镇市,中国;江西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
曲靖,曲靖;曲靖市,中国;云南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
朔州,朔州;朔州市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
朝阳,朝阳;朝阳市,中国;辽宁,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
本溪,本溪;本溪市,中国;辽宁,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
来宾,来宾;来宾市,中国;广西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
杭州,杭州;杭州市,中国;浙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
松原,松原;松原市,中国;吉林,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
林芝,林芝,中国;西藏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
